book_title,subject,n
Ander Theil....,alchemy,1
Apocalypsis ...,religion,3
Catalogus sc...,astronomy/cosmology,1
Catalogus sc...,religion,2
Cheiragogia ...,alchemy,1
Cheiragogia ...,religion,1
Chronologia ...,chronology,15
De republica...,historia,6
De republica...,language,1
De republica...,law,9
De republica...,literature (classical),1
De republica...,philosophy,4
Flores: ex o...,literature (classical),2
Flores: ex o...,philosophy,1
Isagoge opti...,astronomy/cosmology,1
The foure ch...,alchemy,1
The image of...,historia,2
The Roman hi...,historia,7
The Roman hi...,statecraft,6
The Triall o...,commentary,10
The Triall o...,didactic,6
The Triall o...,historia,13
The Triall o...,law,3
Triga chemic...,alchemy,1
Veterinaria ...,literature (classical),1
